vendor_name,model_name,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,PRP,ERP
0.0,29.0,125.0,256.0,6000.0,256.0,16.0,128.0,198.0,199.0
1.0,62.0,29.0,8000.0,32000.0,32.0,8.0,32.0,269.0,253.0
1.0,63.0,29.0,8000.0,32000.0,32.0,8.0,32.0,220.0,253.0
1.0,64.0,29.0,8000.0,32000.0,32.0,8.0,32.0,172.0,253.0
1.0,65.0,29.0,8000.0,16000.0,32.0,8.0,16.0,132.0,132.0
1.0,66.0,26.0,8000.0,32000.0,64.0,8.0,32.0,318.0,290.0
1.0,74.0,23.0,16000.0,32000.0,64.0,16.0,32.0,367.0,381.0
1.0,75.0,23.0,16000.0,32000.0,64.0,16.0,32.0,489.0,381.0
1.0,76.0,23.0,16000.0,64000.0,64.0,16.0,32.0,636.0,749.0
1.0,77.0,23.0,32000.0,64000.0,128.0,32.0,64.0,1144.0,1238.0
2.0,148.0,400.0,1000.0,3000.0,0.0,1.0,2.0,38.0,23.0
2.0,149.0,400.0,512.0,3500.0,4.0,1.0,6.0,40.0,24.0
3.0,92.0,60.0,2000.0,8000.0,65.0,1.0,8.0,92.0,70.0
3.0,93.0,50.0,4000.0,16000.0,65.0,1.0,8.0,138.0,117.0
4.0,73.0,350.0,64.0,64.0,0.0,1.0,4.0,10.0,15.0
4.0,102.0,200.0,512.0,16000.0,0.0,4.0,32.0,35.0,64.0
5.0,129.0,167.0,524.0,2000.0,8.0,4.0,15.0,19.0,23.0
5.0,130.0,143.0,512.0,5000.0,0.0,7.0,32.0,28.0,29.0
5.0,131.0,143.0,1000.0,2000.0,0.0,5.0,16.0,31.0,22.0
5.0,132.0,110.0,5000.0,5000.0,142.0,8.0,64.0,120.0,124.0
5.0,133.0,143.0,1500.0,6300.0,0.0,5.0,32.0,30.0,35.0
5.0,134.0,143.0,3100.0,6200.0,0.0,5.0,20.0,33.0,39.0
5.0,135.0,143.0,2300.0,6200.0,0.0,6.0,64.0,61.0,40.0
5.0,136.0,110.0,3100.0,6200.0,0.0,6.0,64.0,76.0,45.0
6.0,79.0,320.0,128.0,6000.0,0.0,1.0,12.0,23.0,28.0
6.0,186.0,320.0,512.0,2000.0,4.0,1.0,3.0,69.0,21.0
6.0,187.0,320.0,256.0,6000.0,0.0,1.0,6.0,33.0,28.0
6.0,188.0,320.0,256.0,3000.0,4.0,1.0,3.0,27.0,22.0
6.0,189.0,320.0,512.0,5000.0,4.0,1.0,5.0,77.0,28.0
6.0,190.0,320.0,256.0,5000.0,4.0,1.0,6.0,27.0,27.0
8.0,140.0,25.0,1310.0,2620.0,131.0,12.0,24.0,274.0,102.0
8.0,141.0,25.0,1310.0,2620.0,131.0,12.0,24.0,368.0,102.0
8.0,142.0,50.0,2620.0,10480.0,30.0,12.0,24.0,32.0,74.0
8.0,143.0,50.0,2620.0,10480.0,30.0,12.0,24.0,63.0,74.0
8.0,144.0,56.0,5240.0,20970.0,30.0,12.0,24.0,106.0,138.0
8.0,145.0,64.0,5240.0,20970.0,30.0,12.0,24.0,208.0,136.0
8.0,182.0,50.0,500.0,2000.0,8.0,1.0,4.0,20.0,23.0
8.0,183.0,50.0,1000.0,4000.0,8.0,1.0,5.0,29.0,29.0
8.0,184.0,50.0,2000.0,8000.0,8.0,1.0,5.0,71.0,44.0
7.0,8.0,50.0,1000.0,4000.0,8.0,3.0,5.0,26.0,30.0
7.0,9.0,50.0,1000.0,8000.0,8.0,3.0,5.0,36.0,41.0
7.0,10.0,50.0,2000.0,16000.0,8.0,3.0,5.0,40.0,74.0
7.0,11.0,50.0,2000.0,16000.0,8.0,3.0,6.0,52.0,74.0
7.0,12.0,50.0,2000.0,16000.0,8.0,3.0,6.0,60.0,74.0
9.0,146.0,133.0,1000.0,12000.0,9.0,3.0,12.0,72.0,54.0
9.0,147.0,133.0,1000.0,8000.0,9.0,3.0,12.0,72.0,41.0
9.0,181.0,810.0,512.0,512.0,8.0,1.0,1.0,18.0,18.0
9.0,204.0,810.0,1000.0,5000.0,0.0,1.0,1.0,20.0,28.0
9.0,205.0,320.0,512.0,8000.0,4.0,1.0,5.0,40.0,36.0
9.0,206.0,200.0,512.0,8000.0,8.0,1.0,8.0,62.0,38.0
10.0,163.0,700.0,384.0,8000.0,0.0,1.0,1.0,24.0,34.0
10.0,164.0,700.0,256.0,2000.0,0.0,1.0,1.0,24.0,19.0
10.0,165.0,140.0,1000.0,16000.0,16.0,1.0,3.0,138.0,72.0
10.0,166.0,200.0,1000.0,8000.0,0.0,1.0,2.0,36.0,36.0
10.0,167.0,110.0,1000.0,4000.0,16.0,1.0,2.0,26.0,30.0
10.0,168.0,110.0,1000.0,12000.0,16.0,1.0,2.0,60.0,56.0
10.0,169.0,220.0,1000.0,8000.0,16.0,1.0,2.0,71.0,42.0
11.0,170.0,800.0,256.0,8000.0,0.0,1.0,4.0,12.0,34.0
11.0,171.0,800.0,256.0,8000.0,0.0,1.0,4.0,14.0,34.0
11.0,172.0,800.0,256.0,8000.0,0.0,1.0,4.0,20.0,34.0
11.0,173.0,800.0,256.0,8000.0,0.0,1.0,4.0,16.0,34.0
11.0,174.0,800.0,256.0,8000.0,0.0,1.0,4.0,22.0,34.0
12.0,13.0,125.0,512.0,1000.0,0.0,8.0,20.0,36.0,19.0
13.0,137.0,75.0,2000.0,8000.0,64.0,1.0,38.0,144.0,75.0
13.0,138.0,75.0,2000.0,16000.0,64.0,1.0,38.0,144.0,113.0
13.0,139.0,75.0,2000.0,16000.0,128.0,1.0,38.0,259.0,157.0
16.0,15.0,90.0,256.0,1000.0,0.0,3.0,10.0,17.0,18.0
16.0,16.0,105.0,256.0,2000.0,0.0,3.0,10.0,26.0,20.0
16.0,17.0,105.0,1000.0,4000.0,0.0,3.0,24.0,32.0,28.0
16.0,18.0,105.0,2000.0,4000.0,8.0,3.0,19.0,32.0,33.0
16.0,19.0,75.0,2000.0,8000.0,8.0,3.0,24.0,62.0,47.0
16.0,20.0,75.0,3000.0,8000.0,8.0,3.0,48.0,64.0,54.0
16.0,21.0,175.0,256.0,2000.0,0.0,3.0,24.0,22.0,20.0
14.0,0.0,300.0,768.0,3000.0,0.0,6.0,24.0,36.0,23.0
14.0,14.0,300.0,768.0,3000.0,6.0,6.0,24.0,44.0,25.0
14.0,72.0,300.0,768.0,12000.0,6.0,6.0,24.0,50.0,52.0
14.0,78.0,300.0,768.0,4500.0,0.0,1.0,24.0,45.0,27.0
14.0,94.0,300.0,384.0,12000.0,6.0,1.0,24.0,53.0,50.0
14.0,95.0,300.0,192.0,768.0,6.0,6.0,24.0,36.0,18.0
14.0,101.0,180.0,768.0,12000.0,6.0,1.0,31.0,84.0,53.0
15.0,150.0,330.0,1000.0,3000.0,0.0,2.0,4.0,16.0,23.0
15.0,151.0,300.0,1000.0,4000.0,8.0,3.0,64.0,38.0,30.0
15.0,152.0,300.0,1000.0,16000.0,8.0,2.0,112.0,38.0,73.0
15.0,153.0,330.0,1000.0,2000.0,0.0,1.0,2.0,16.0,20.0
15.0,154.0,330.0,1000.0,4000.0,0.0,3.0,6.0,22.0,25.0
15.0,155.0,140.0,2000.0,4000.0,0.0,3.0,6.0,29.0,28.0
15.0,156.0,140.0,2000.0,4000.0,0.0,4.0,8.0,40.0,29.0
15.0,158.0,140.0,2000.0,4000.0,8.0,1.0,20.0,35.0,32.0
15.0,159.0,140.0,2000.0,32000.0,32.0,1.0,20.0,134.0,175.0
15.0,160.0,140.0,2000.0,8000.0,32.0,1.0,54.0,66.0,57.0
15.0,161.0,140.0,2000.0,32000.0,32.0,1.0,54.0,141.0,181.0
15.0,162.0,140.0,2000.0,32000.0,32.0,1.0,54.0,189.0,181.0
15.0,157.0,140.0,2000.0,4000.0,8.0,1.0,20.0,22.0,32.0
17.0,22.0,57.0,4000.0,16000.0,1.0,6.0,12.0,132.0,82.0
17.0,23.0,57.0,4000.0,24000.0,64.0,12.0,16.0,237.0,171.0
17.0,24.0,26.0,16000.0,32000.0,64.0,16.0,24.0,465.0,361.0
17.0,25.0,26.0,16000.0,32000.0,64.0,8.0,24.0,465.0,350.0
17.0,26.0,26.0,8000.0,32000.0,0.0,8.0,24.0,277.0,220.0
17.0,27.0,26.0,8000.0,16000.0,0.0,8.0,16.0,185.0,113.0
17.0,33.0,480.0,96.0,512.0,0.0,1.0,1.0,6.0,15.0
17.0,34.0,203.0,1000.0,2000.0,0.0,1.0,5.0,24.0,21.0
17.0,35.0,115.0,512.0,6000.0,16.0,1.0,6.0,45.0,35.0
17.0,36.0,1100.0,512.0,1500.0,0.0,1.0,1.0,7.0,18.0
17.0,37.0,1100.0,768.0,2000.0,0.0,1.0,1.0,13.0,20.0
17.0,38.0,600.0,768.0,2000.0,0.0,1.0,1.0,16.0,20.0
17.0,39.0,400.0,2000.0,4000.0,0.0,1.0,1.0,32.0,28.0
17.0,40.0,400.0,4000.0,8000.0,0.0,1.0,1.0,32.0,45.0
17.0,41.0,900.0,1000.0,1000.0,0.0,1.0,2.0,11.0,18.0
17.0,42.0,900.0,512.0,1000.0,0.0,1.0,2.0,11.0,17.0
17.0,43.0,900.0,1000.0,4000.0,4.0,1.0,2.0,18.0,26.0
17.0,44.0,900.0,1000.0,4000.0,8.0,1.0,2.0,22.0,28.0
17.0,45.0,900.0,2000.0,4000.0,0.0,3.0,6.0,37.0,28.0
17.0,46.0,225.0,2000.0,4000.0,8.0,3.0,6.0,40.0,31.0
17.0,47.0,225.0,2000.0,4000.0,8.0,3.0,6.0,34.0,31.0
17.0,48.0,180.0,2000.0,8000.0,8.0,1.0,6.0,50.0,42.0
17.0,49.0,185.0,2000.0,16000.0,16.0,1.0,6.0,76.0,76.0
17.0,50.0,180.0,2000.0,16000.0,16.0,1.0,6.0,66.0,76.0
17.0,51.0,225.0,1000.0,4000.0,2.0,3.0,6.0,24.0,26.0
17.0,52.0,25.0,2000.0,12000.0,8.0,1.0,4.0,49.0,59.0
17.0,53.0,25.0,2000.0,12000.0,16.0,3.0,5.0,66.0,65.0
17.0,54.0,17.0,4000.0,16000.0,8.0,6.0,12.0,100.0,101.0
17.0,55.0,17.0,4000.0,16000.0,32.0,6.0,12.0,133.0,116.0
17.0,103.0,1500.0,768.0,1000.0,0.0,0.0,0.0,12.0,18.0
17.0,104.0,1500.0,768.0,2000.0,0.0,0.0,0.0,18.0,20.0
17.0,105.0,800.0,768.0,2000.0,0.0,0.0,0.0,20.0,20.0
18.0,56.0,50.0,2000.0,4000.0,0.0,3.0,6.0,27.0,30.0
18.0,57.0,50.0,2000.0,8000.0,8.0,3.0,6.0,45.0,44.0
18.0,58.0,50.0,2000.0,8000.0,8.0,1.0,6.0,56.0,44.0
18.0,59.0,50.0,2000.0,16000.0,24.0,1.0,6.0,70.0,82.0
18.0,60.0,50.0,2000.0,16000.0,24.0,1.0,6.0,80.0,82.0
18.0,61.0,50.0,8000.0,16000.0,48.0,1.0,10.0,136.0,128.0
19.0,175.0,100.0,1000.0,8000.0,0.0,2.0,6.0,16.0,37.0
19.0,176.0,100.0,1000.0,8000.0,24.0,2.0,6.0,26.0,46.0
19.0,177.0,100.0,1000.0,8000.0,24.0,3.0,6.0,32.0,46.0
19.0,178.0,50.0,2000.0,16000.0,12.0,3.0,16.0,45.0,80.0
19.0,179.0,50.0,2000.0,16000.0,24.0,6.0,16.0,54.0,88.0
19.0,180.0,50.0,2000.0,16000.0,24.0,6.0,16.0,65.0,88.0
20.0,185.0,150.0,512.0,4000.0,0.0,8.0,128.0,30.0,33.0
21.0,110.0,115.0,2000.0,8000.0,16.0,1.0,3.0,50.0,46.0
21.0,111.0,115.0,2000.0,4000.0,2.0,1.0,5.0,40.0,29.0
21.0,112.0,92.0,2000.0,8000.0,32.0,1.0,6.0,62.0,53.0
21.0,113.0,92.0,2000.0,8000.0,32.0,1.0,6.0,60.0,53.0
21.0,114.0,92.0,2000.0,8000.0,4.0,1.0,6.0,50.0,41.0
21.0,115.0,75.0,4000.0,16000.0,16.0,1.0,6.0,66.0,86.0
21.0,116.0,60.0,4000.0,16000.0,32.0,1.0,6.0,86.0,95.0
21.0,117.0,60.0,2000.0,16000.0,64.0,5.0,8.0,74.0,107.0
21.0,118.0,60.0,4000.0,16000.0,64.0,5.0,8.0,93.0,117.0
21.0,119.0,50.0,4000.0,16000.0,64.0,5.0,10.0,111.0,119.0
21.0,120.0,72.0,4000.0,16000.0,64.0,8.0,16.0,143.0,120.0
21.0,121.0,72.0,2000.0,8000.0,16.0,6.0,8.0,105.0,48.0
21.0,122.0,40.0,8000.0,16000.0,32.0,8.0,16.0,214.0,126.0
21.0,123.0,40.0,8000.0,32000.0,64.0,8.0,24.0,277.0,266.0
21.0,124.0,35.0,8000.0,32000.0,64.0,8.0,24.0,370.0,270.0
21.0,125.0,38.0,16000.0,32000.0,128.0,16.0,32.0,510.0,426.0
21.0,126.0,48.0,4000.0,24000.0,32.0,8.0,24.0,214.0,151.0
21.0,127.0,38.0,8000.0,32000.0,64.0,8.0,24.0,326.0,267.0
21.0,128.0,30.0,16000.0,32000.0,256.0,16.0,24.0,510.0,603.0
22.0,191.0,112.0,1000.0,1000.0,0.0,1.0,4.0,8.0,19.0
22.0,192.0,84.0,1000.0,2000.0,0.0,1.0,6.0,12.0,21.0
22.0,193.0,56.0,1000.0,4000.0,0.0,1.0,6.0,17.0,26.0
22.0,194.0,56.0,2000.0,6000.0,0.0,1.0,8.0,21.0,35.0
22.0,195.0,56.0,2000.0,8000.0,0.0,1.0,8.0,24.0,41.0
22.0,196.0,56.0,4000.0,8000.0,0.0,1.0,8.0,34.0,47.0
22.0,197.0,56.0,4000.0,12000.0,0.0,1.0,8.0,42.0,62.0
22.0,198.0,56.0,4000.0,16000.0,0.0,1.0,8.0,46.0,78.0
22.0,199.0,38.0,4000.0,8000.0,32.0,16.0,32.0,51.0,80.0
22.0,200.0,38.0,4000.0,8000.0,32.0,16.0,32.0,116.0,80.0
22.0,201.0,38.0,8000.0,16000.0,64.0,4.0,8.0,100.0,142.0
22.0,202.0,38.0,8000.0,24000.0,160.0,4.0,8.0,140.0,281.0
22.0,203.0,38.0,4000.0,16000.0,128.0,16.0,32.0,212.0,190.0
23.0,106.0,200.0,1000.0,2000.0,0.0,1.0,2.0,25.0,21.0
23.0,107.0,200.0,1000.0,4000.0,0.0,1.0,4.0,30.0,25.0
23.0,108.0,200.0,2000.0,8000.0,64.0,1.0,5.0,41.0,67.0
24.0,30.0,250.0,512.0,4000.0,0.0,1.0,7.0,25.0,24.0
24.0,31.0,250.0,512.0,4000.0,0.0,4.0,7.0,50.0,24.0
24.0,32.0,250.0,1000.0,16000.0,1.0,1.0,8.0,50.0,64.0
25.0,67.0,160.0,512.0,4000.0,2.0,1.0,5.0,30.0,25.0
25.0,68.0,160.0,512.0,2000.0,2.0,3.0,8.0,32.0,20.0
25.0,69.0,160.0,1000.0,4000.0,8.0,1.0,14.0,38.0,29.0
25.0,70.0,160.0,1000.0,8000.0,16.0,1.0,14.0,60.0,43.0
25.0,71.0,160.0,2000.0,8000.0,32.0,1.0,13.0,109.0,53.0
26.0,80.0,240.0,512.0,1000.0,8.0,1.0,3.0,6.0,19.0
26.0,81.0,240.0,512.0,2000.0,8.0,1.0,5.0,11.0,22.0
26.0,82.0,105.0,2000.0,4000.0,8.0,3.0,8.0,22.0,31.0
26.0,83.0,105.0,2000.0,6000.0,16.0,6.0,16.0,33.0,41.0
26.0,84.0,105.0,2000.0,8000.0,16.0,4.0,14.0,58.0,47.0
26.0,85.0,52.0,4000.0,16000.0,32.0,4.0,12.0,130.0,99.0
26.0,86.0,70.0,4000.0,12000.0,8.0,6.0,8.0,75.0,67.0
26.0,87.0,59.0,4000.0,12000.0,32.0,6.0,12.0,113.0,81.0
26.0,88.0,59.0,8000.0,16000.0,64.0,12.0,24.0,188.0,149.0
26.0,89.0,26.0,8000.0,24000.0,32.0,8.0,16.0,173.0,183.0
26.0,90.0,26.0,8000.0,32000.0,64.0,12.0,16.0,248.0,275.0
26.0,91.0,26.0,8000.0,32000.0,128.0,24.0,32.0,405.0,382.0
27.0,1.0,116.0,2000.0,8000.0,32.0,5.0,28.0,70.0,56.0
27.0,2.0,50.0,2000.0,32000.0,24.0,6.0,26.0,114.0,182.0
27.0,3.0,50.0,2000.0,32000.0,48.0,26.0,52.0,208.0,227.0
27.0,4.0,50.0,2000.0,32000.0,112.0,52.0,104.0,307.0,341.0
27.0,5.0,50.0,4000.0,32000.0,112.0,52.0,104.0,397.0,360.0
27.0,6.0,30.0,8000.0,64000.0,96.0,12.0,176.0,915.0,919.0
27.0,7.0,30.0,8000.0,64000.0,128.0,12.0,176.0,1150.0,978.0
27.0,96.0,180.0,262.0,4000.0,0.0,1.0,3.0,12.0,24.0
27.0,97.0,180.0,512.0,4000.0,0.0,1.0,3.0,14.0,24.0
27.0,98.0,180.0,262.0,4000.0,0.0,1.0,3.0,18.0,24.0
27.0,99.0,180.0,512.0,4000.0,0.0,1.0,3.0,21.0,24.0
27.0,100.0,124.0,1000.0,8000.0,0.0,1.0,8.0,42.0,37.0
27.0,109.0,98.0,1000.0,8000.0,32.0,2.0,8.0,46.0,50.0
28.0,28.0,125.0,2000.0,8000.0,0.0,2.0,14.0,52.0,41.0
29.0,207.0,480.0,512.0,8000.0,32.0,0.0,0.0,67.0,47.0
29.0,208.0,480.0,1000.0,4000.0,0.0,0.0,0.0,45.0,25.0
